geo_level,geography_id,geography_name,missing_year
county,12005,Bay County,2025
county,12007,Bradford County,2025
county,12009,Brevard County,2025
county,12011,Broward County,2025
county,12013,Calhoun County,2025
county,12015,Charlotte County,2025
county,12017,Citrus County,2025
county,12019,Clay County,2025
county,12021,Collier County,2025
county,12023,Columbia County,2025
county,12027,DeSoto County,2025
county,12029,Dixie County,2025
county,12031,Duval County,2025
county,12033,Escambia County,2025
county,12035,Flagler County,2025
county,12037,Franklin County,2025
county,12039,Gadsden County,2025
county,12041,Gilchrist County,2025
county,12043,Glades County,2025
county,12045,Gulf County,2025
county,12047,Hamilton County,2025
county,12049,Hardee County,2025
county,12051,Hendry County,2025
county,12053,Hernando County,2025
county,12055,Highlands County,2025
county,12057,Hillsborough County,2025
county,12059,Holmes County,2025
county,12061,Indian River County,2025
county,12063,Jackson County,2025
county,12065,Jefferson County,2025
county,12067,Lafayette County,2025
county,12069,Lake County,2025
county,12071,Lee County,2025
county,12073,Leon County,2025
county,12075,Levy County,2025
county,12077,Liberty County,2025
county,12079,Madison County,2025
county,12081,Manatee County,2025
county,12083,Marion County,2025
county,12085,Martin County,2025
county,12086,Miami-Dade County,2025
county,12087,Monroe County,2025
county,12089,Nassau County,2025
county,12091,Okaloosa County,2025
county,12093,Okeechobee County,2025
county,12095,Orange County,2025
county,12097,Osceola County,2025
county,12099,Palm Beach County,2025
county,12101,Pasco County,2025
county,12103,Pinellas County,2025
county,12105,Polk County,2025
county,12107,Putnam County,2025
county,12109,St. Johns County,2025
county,12111,St. Lucie County,2025
county,12113,Santa Rosa County,2025
county,12115,Sarasota County,2025
county,12117,Seminole County,2025
county,12119,Sumter County,2025
county,12121,Suwannee County,2025
county,12123,Taylor County,2025
county,12125,Union County,2025
county,12127,Volusia County,2025
county,12129,Wakulla County,2025
county,12131,Walton County,2025
county,12133,Washington County,2025
county,13001,Appling County,2025
county,13005,Bacon County,2025
county,13009,Baldwin County,2025
county,13011,Banks County,2025
county,13013,Barrow County,2025
county,13015,Bartow County,2025
county,13017,Ben Hill County,2025
county,13019,Berrien County,2025
county,13021,Bibb County,2025
county,13023,Bleckley County,2025
county,13025,Brantley County,2025
county,13027,Brooks County,2025
county,13029,Bryan County,2025
county,13031,Bulloch County,2025
county,13033,Burke County,2025
county,13035,Butts County,2025
county,13037,Calhoun County,2025
county,13039,Camden County,2025
county,13043,Candler County,2025
county,13045,Carroll County,2025
county,13047,Catoosa County,2025
county,13049,Charlton County,2025
county,13051,Chatham County,2025
county,13053,Chattahoochee County,2025
county,13055,Chattooga County,2025
county,13057,Cherokee County,2025
county,13059,Clarke County,2025
county,13061,Clay County,2025
county,13063,Clayton County,2025
county,13065,Clinch County,2025
county,13067,Cobb County,2025
county,13069,Coffee County,2025
county,13071,Colquitt County,2025
county,13073,Columbia County,2025
county,13075,Cook County,2025
county,13077,Coweta County,2025
county,13079,Crawford County,2025
county,13081,Crisp County,2025
county,13083,Dade County,2025
county,13085,Dawson County,2025
county,13087,Decatur County,2025
county,13089,DeKalb County,2025
county,13091,Dodge County,2025
county,13093,Dooly County,2025
county,13095,Dougherty County,2025
county,13097,Douglas County,2025
county,13099,Early County,2025
county,13103,Effingham County,2025
county,13105,Elbert County,2025
county,13107,Emanuel County,2025
county,13109,Evans County,2025
county,13111,Fannin County,2025
county,13113,Fayette County,2025
county,13115,Floyd County,2025
county,13117,Forsyth County,2025
county,13119,Franklin County,2025
county,13121,Fulton County,2025
county,13123,Gilmer County,2025
county,13125,Glascock County,2004
county,13125,Glascock County,2005
county,13125,Glascock County,2006
county,13125,Glascock County,2007
county,13125,Glascock County,2008
county,13125,Glascock County,2009
county,13125,Glascock County,2010
county,13125,Glascock County,2011
county,13125,Glascock County,2012
county,13125,Glascock County,2013
county,13125,Glascock County,2014
county,13125,Glascock County,2015
county,13125,Glascock County,2016
county,13125,Glascock County,2017
county,13125,Glascock County,2018
county,13125,Glascock County,2019
county,13125,Glascock County,2020
county,13125,Glascock County,2021
county,13125,Glascock County,2022
county,13125,Glascock County,2023
county,13125,Glascock County,2024
county,13125,Glascock County,2025
county,13127,Glynn County,2025
county,13129,Gordon County,2025
county,13131,Grady County,2025
county,13133,Greene County,2025
county,13135,Gwinnett County,2025
county,13137,Habersham County,2025
county,13139,Hall County,2025
county,13141,Hancock County,2025
county,13143,Haralson County,2025
county,13145,Harris County,2025
county,13147,Hart County,2025
county,13149,Heard County,2025
county,13151,Henry County,2025
county,13153,Houston County,2025
county,13155,Irwin County,2025
county,13157,Jackson County,2025
county,13159,Jasper County,2025
county,13161,Jeff Davis County,2025
county,13163,Jefferson County,2025
county,13165,Jenkins County,2025
county,13167,Johnson County,2025
county,13169,Jones County,2025
county,13171,Lamar County,2025
county,13173,Lanier County,2025
county,13175,Laurens County,2025
county,13177,Lee County,2025
county,13179,Liberty County,2025
county,13181,Lincoln County,2025
county,13185,Lowndes County,2025
county,13187,Lumpkin County,2025
county,13189,McDuffie County,2025
county,13191,McIntosh County,2025
county,13193,Macon County,2025
county,13195,Madison County,2025
county,13199,Meriwether County,2025
county,13201,Miller County,2025
county,13205,Mitchell County,2025
county,13207,Monroe County,2025
county,13209,Montgomery County,2025
county,13211,Morgan County,2025
county,13213,Murray County,2025
county,13215,Muscogee County,2025
county,13217,Newton County,2025
county,13219,Oconee County,2025
county,13223,Paulding County,2025
county,13225,Peach County,2025
county,13227,Pickens County,2025
county,13229,Pierce County,2025
county,13231,Pike County,2025
county,13233,Polk County,2025
county,13235,Pulaski County,2025
county,13237,Putnam County,2025
county,13239,Quitman County,2025
county,13241,Rabun County,2025
county,13243,Randolph County,2025
county,13245,Richmond County,2025
county,13247,Rockdale County,2025
county,13249,Schley County,2025
county,13251,Screven County,2025
county,13253,Seminole County,2025
county,13255,Spalding County,2025
county,13257,Stephens County,2025
county,13259,Stewart County,2025
county,13261,Sumter County,2025
county,13263,Talbot County,2025
county,13267,Tattnall County,2025
county,13269,Taylor County,2025
county,13271,Telfair County,2025
county,13273,Terrell County,2025
county,13275,Thomas County,2025
county,13277,Tift County,2025
county,13279,Toombs County,2025
county,13281,Towns County,2025
county,13283,Treutlen County,2025
county,13285,Troup County,2025
county,13287,Turner County,2025
county,13289,Twiggs County,2025
county,13291,Union County,2025
county,13293,Upson County,2025
county,13295,Walker County,2025
county,13297,Walton County,2025
county,13299,Ware County,2025
county,13301,Warren County,2025
county,13303,Washington County,2025
county,13305,Wayne County,2025
county,13309,Wheeler County,2025
county,13311,White County,2025
county,13313,Whitfield County,2025
county,13315,Wilcox County,2004
county,13315,Wilcox County,2005
county,13315,Wilcox County,2006
county,13315,Wilcox County,2007
county,13315,Wilcox County,2008
county,13315,Wilcox County,2009
county,13315,Wilcox County,2010
county,13315,Wilcox County,2011
county,13315,Wilcox County,2012
county,13315,Wilcox County,2013
county,13315,Wilcox County,2014
county,13315,Wilcox County,2015
county,13315,Wilcox County,2016
county,13315,Wilcox County,2017
county,13315,Wilcox County,2018
county,13315,Wilcox County,2019
county,13315,Wilcox County,2020
county,13315,Wilcox County,2021
county,13315,Wilcox County,2022
county,13315,Wilcox County,2023
county,13315,Wilcox County,2024
county,13315,Wilcox County,2025
county,13317,Wilkes County,2025
county,13321,Worth County,2025
county,15001,Hawaii County,2025
county,15003,Honolulu County,2025
county,15007,Kauai County,2025
county,15009,Maui County,2025
county,16001,Ada County,2025
county,16003,Adams County,2025
county,16005,Bannock County,2025
county,16007,Bear Lake County,2025
county,16009,Benewah County,2025
county,16011,Bingham County,2025
county,16013,Blaine County,2025
county,16015,Boise County,2025
county,16017,Bonner County,2025
county,16019,Bonneville County,2025
county,16021,Boundary County,2025
county,16023,Butte County,2025
county,16025,Camas County,2025
county,16027,Canyon County,2025
county,16029,Caribou County,2025
county,16031,Cassia County,2025
county,16033,Clark County,2025
county,16035,Clearwater County,2025
county,16037,Custer County,2025
county,16039,Elmore County,2025
county,16041,Franklin County,2025
county,16043,Fremont County,2025
county,16045,Gem County,2025
county,16047,Gooding County,2025
county,16049,Idaho County,2025
county,16051,Jefferson County,2025
county,16053,Jerome County,2025
county,16055,Kootenai County,2025
county,16057,Latah County,2025
county,16059,Lemhi County,2025
county,16061,Lewis County,2025
county,16063,Lincoln County,2025
county,16065,Madison County,2025
county,16067,Minidoka County,2025
county,16069,Nez Perce County,2025
county,16071,Oneida County,2025
county,16073,Owyhee County,2025
county,16075,Payette County,2025
county,16077,Power County,2025
county,16079,Shoshone County,2025
county,16081,Teton County,2025
county,16083,Twin Falls County,2025
county,16085,Valley County,2025
county,16087,Washington County,2025
county,17001,Adams County,2025
county,17003,Alexander County,2025
county,17005,Bond County,2025
county,17007,Boone County,2025
county,17009,Brown County,2025
county,17011,Bureau County,2025
county,17013,Calhoun County,2025
county,17015,Carroll County,2025
county,17017,Cass County,2025
county,17019,Champaign County,2025
county,17021,Christian County,2025
county,17023,Clark County,2025
county,17025,Clay County,2025
county,17027,Clinton County,2025
county,17029,Coles County,2025
county,17031,Cook County,2025
county,17033,Crawford County,2025
county,17035,Cumberland County,2025
county,17037,DeKalb County,2025
county,17039,De Witt County,2025
county,17041,Douglas County,2025
county,17043,DuPage County,2025
county,17045,Edgar County,2025
county,17049,Effingham County,2025
county,17051,Fayette County,2025
county,17053,Ford County,2025
county,17055,Franklin County,2025
county,17057,Fulton County,2025
county,17059,Gallatin County,2004
county,17059,Gallatin County,2005
county,17059,Gallatin County,2006
county,17059,Gallatin County,2007
county,17059,Gallatin County,2008
county,17059,Gallatin County,2009
county,17059,Gallatin County,2010
county,17059,Gallatin County,2011
county,17059,Gallatin County,2012
county,17059,Gallatin County,2013
county,17059,Gallatin County,2014
county,17059,Gallatin County,2015
county,17059,Gallatin County,2016
county,17059,Gallatin County,2017
county,17059,Gallatin County,2018
county,17059,Gallatin County,2019
county,17059,Gallatin County,2020
county,17059,Gallatin County,2021
county,17059,Gallatin County,2022
county,17059,Gallatin County,2023
county,17059,Gallatin County,2024
county,17059,Gallatin County,2025
county,17061,Greene County,2025
county,17063,Grundy County,2025
county,17067,Hancock County,2025
county,17069,Hardin County,2025
county,17071,Henderson County,2025
county,17073,Henry County,2025
county,17075,Iroquois County,2025
county,17077,Jackson County,2025
county,17079,Jasper County,2025
county,17081,Jefferson County,2025
county,17083,Jersey County,2025
county,17085,Jo Daviess County,2025
county,17089,Kane County,2025
county,17091,Kankakee County,2025
county,17093,Kendall County,2025
county,17095,Knox County,2025
county,17097,Lake County,2025
county,17099,La Salle County,2025
county,17101,Lawrence County,2025
county,17103,Lee County,2025
county,17105,Livingston County,2025
county,17107,Logan County,2025
county,17109,McDonough County,2025
county,17111,McHenry County,2025
county,17113,McLean County,2025
county,17115,Macon County,2025
county,17117,Macoupin County,2025
county,17119,Madison County,2025
county,17121,Marion County,2025
county,17123,Marshall County,2025
county,17125,Mason County,2025
county,17127,Massac County,2025
county,17129,Menard County,2025
county,17131,Mercer County,2025
county,17133,Monroe County,2025
county,17135,Montgomery County,2025
county,17137,Morgan County,2025
county,17139,Moultrie County,2025
county,17141,Ogle County,2025
county,17143,Peoria County,2025
county,17147,Piatt County,2025
county,17149,Pike County,2025
county,17151,Pope County,2025
county,17153,Pulaski County,2025
county,17155,Putnam County,2025
county,17157,Randolph County,2025
county,17159,Richland County,2025
county,17161,Rock Island County,2025
county,17163,St. Clair County,2025
county,17165,Saline County,2025
county,17167,Sangamon County,2025
county,17171,Scott County,2004
county,17171,Scott County,2005
county,17171,Scott County,2006
county,17171,Scott County,2007
county,17171,Scott County,2008
county,17171,Scott County,2009
county,17171,Scott County,2010
county,17171,Scott County,2011
county,17171,Scott County,2012
county,17171,Scott County,2013
county,17171,Scott County,2014
county,17171,Scott County,2015
county,17171,Scott County,2016
county,17171,Scott County,2017
county,17171,Scott County,2018
county,17171,Scott County,2019
county,17171,Scott County,2020
county,17171,Scott County,2021
county,17171,Scott County,2022
county,17171,Scott County,2023
county,17171,Scott County,2024
county,17171,Scott County,2025
county,17173,Shelby County,2025
county,17175,Stark County,2025
county,17177,Stephenson County,2025
county,17179,Tazewell County,2025
county,17181,Union County,2025
county,17183,Vermilion County,2025
county,17185,Wabash County,2025
county,17187,Warren County,2025
county,17189,Washington County,2025
